file|symbols|menu_refs|ice_refs|event_refs|capture_refs|ax_refs|bridging_refs
MenuBarItemService/Listener.swift|2|3|0|0|0|0|0
MenuBarItemService/SourcePIDCache.swift|3|18|0|0|4|15|8
MenuBarItemService/main.swift|0|0|0|0|0|0|0
Shared/Bridging/Bridging.swift|8|26|0|1|23|0|87
Shared/Bridging/Shims.swift|21|4|0|0|6|0|78
Shared/Services/MenuBarItemService.swift|4|4|0|0|0|0|1
Shared/Utilities/AXHelpers.swift|1|2|0|0|0|4|0
Shared/Utilities/DiagnosticLogger.swift|8|2|0|0|1|0|0
Shared/Utilities/SharedExtensions.swift|5|0|0|0|0|0|0
Shared/Utilities/WindowInfo.swift|8|6|0|0|19|0|26
Thaw/Events/EventMonitor.swift|21|0|0|27|0|0|0
Thaw/Events/EventTap.swift|7|0|0|38|0|0|0
Thaw/Events/HIDEventManager.swift|19|52|5|77|2|0|8
Thaw/Events/RunLoopLocalEventMonitor.swift|8|0|0|5|0|0|0
Thaw/Hotkeys/Hotkey.swift|8|0|0|0|0|0|0
Thaw/Hotkeys/HotkeyAction.swift|2|6|3|2|0|0|0
Thaw/Hotkeys/HotkeyRegistry.swift|4|0|0|0|0|0|0
Thaw/Hotkeys/KeyCode.swift|3|0|0|1|0|0|2
Thaw/Hotkeys/KeyCombination.swift|3|0|0|0|0|0|0
Thaw/Hotkeys/Modifiers.swift|2|0|0|0|0|0|0
Thaw/Main/AppDelegate.swift|5|3|0|5|0|0|2
Thaw/Main/AppState.swift|8|19|0|4|13|0|15
Thaw/Main/IceApp.swift|1|0|0|0|0|0|0
Thaw/Main/Navigation/AppNavigationState.swift|0|1|1|0|0|0|0
Thaw/Main/Navigation/NavigationIdentifiers/NavigationIdentifier.swift|3|0|0|0|0|0|0
Thaw/Main/Navigation/NavigationIdentifiers/SettingsNavigationIdentifier.swift|1|0|0|1|0|0|0
Thaw/Main/Updates.swift|10|0|0|0|0|0|0
Thaw/MenuBar/Appearance/Configurations/MenuBarAppearanceConfigurationV1.swift|4|20|0|0|0|0|0
Thaw/MenuBar/Appearance/Configurations/MenuBarAppearanceConfigurationV2.swift|8|27|0|0|0|0|0
Thaw/MenuBar/Appearance/Configurations/MenuBarShapes.swift|8|22|0|0|0|0|0
Thaw/MenuBar/Appearance/Configurations/MenuBarTintKind.swift|1|6|0|0|0|0|0
Thaw/MenuBar/Appearance/MenuBarAppearanceEditor/MenuBarAppearanceEditor.swift|3|14|0|1|0|0|0
Thaw/MenuBar/Appearance/MenuBarAppearanceEditor/MenuBarAppearanceEditorPanel.swift|6|11|0|0|0|0|0
Thaw/MenuBar/Appearance/MenuBarAppearanceEditor/MenuBarShapePicker.swift|1|19|0|0|0|0|2
Thaw/MenuBar/Appearance/MenuBarAppearanceManager.swift|1|17|0|0|0|0|0
Thaw/MenuBar/Appearance/MenuBarOverlayPanel.swift|3|35|0|3|2|1|20
Thaw/MenuBar/ControlItem/ControlItem.swift|11|79|0|1|13|0|11
Thaw/MenuBar/ControlItem/ControlItemImage.swift|6|4|0|0|19|0|6
Thaw/MenuBar/ControlItem/ControlItemImageSet.swift|3|15|0|0|6|0|0
Thaw/MenuBar/IceBar/IceBar.swift|6|59|31|16|17|0|12
Thaw/MenuBar/IceBar/IceBarColorManager.swift|2|6|4|0|8|0|6
Thaw/MenuBar/IceBar/IceBarLocation.swift|1|2|2|3|0|0|0
Thaw/MenuBar/LayoutBar/LayoutBar.swift|3|8|0|0|2|0|0
Thaw/MenuBar/LayoutBar/LayoutBarContainer.swift|4|12|0|14|1|0|1
Thaw/MenuBar/LayoutBar/LayoutBarItemView.swift|8|16|0|14|11|1|3
Thaw/MenuBar/LayoutBar/LayoutBarPaddingView.swift|1|23|0|14|4|0|0
Thaw/MenuBar/LayoutBar/LayoutBarScrollView.swift|1|7|0|0|0|0|1
Thaw/MenuBar/MenuBarItems/MenuBarItem.swift|8|67|0|0|3|0|21
Thaw/MenuBar/MenuBarItems/MenuBarItemImageCache.swift|12|84|8|0|129|0|13
Thaw/MenuBar/MenuBarItems/MenuBarItemManager.swift|42|378|0|114|35|0|73
Thaw/MenuBar/MenuBarItems/MenuBarItemServiceConnection.swift|8|10|0|0|0|0|1
Thaw/MenuBar/MenuBarItems/MenuBarItemTag.swift|5|38|0|0|3|0|46
Thaw/MenuBar/MenuBarManager.swift|13|65|5|1|4|2|17
Thaw/MenuBar/MenuBarSection.swift|5|50|10|9|0|0|0
Thaw/MenuBar/Search/MenuBarSearchModel.swift|2|8|0|0|2|0|4
Thaw/MenuBar/Search/MenuBarSearchPanel.swift|5|30|0|7|5|0|14
Thaw/MenuBar/Spacing/MenuBarItemSpacingManager.swift|2|11|0|0|0|0|3
Thaw/Permissions/AppPermissions.swift|3|0|0|0|0|2|0
Thaw/Permissions/Permission.swift|4|4|0|0|4|5|1
Thaw/Permissions/PermissionsView.swift|1|2|0|0|0|0|0
Thaw/Permissions/PermissionsWindow.swift|1|0|0|0|0|0|0
Thaw/Settings/Models/AdvancedSettings.swift|2|4|0|2|0|0|0
Thaw/Settings/Models/AppSettings.swift|1|0|0|0|0|0|0
Thaw/Settings/Models/GeneralSettings.swift|2|25|12|2|2|0|0
Thaw/Settings/Models/HotkeysSettings.swift|2|0|0|0|0|0|0
Thaw/Settings/SettingsPanes/AboutSettingsPane.swift|2|0|0|0|0|0|2
