file|kind|ext|symbols|menu_refs|ice_refs|event_refs|capture_refs|ax_refs|bridging_refs
Thaw/UserNotifications/UserNotificationManager.swift|swift|swift|6|0|0|0|0|0|0
Thaw/UserNotifications/UserNotificationIdentifier.swift|swift|swift|1|0|0|0|0|0|0
Thaw/Main/AppDelegate.swift|swift|swift|5|3|0|5|0|0|2
Thaw/Main/IceApp.swift|swift|swift|1|0|0|0|0|0|0
Thaw/Main/Navigation/AppNavigationState.swift|swift|swift|0|1|1|0|0|0|0
Thaw/Main/Navigation/NavigationIdentifiers/SettingsNavigationIdentifier.swift|swift|swift|1|0|0|1|0|0|0
Thaw/Main/Navigation/NavigationIdentifiers/NavigationIdentifier.swift|swift|swift|3|0|0|0|0|0|0
Thaw/Main/Updates.swift|swift|swift|10|0|0|0|0|0|0
Thaw/Main/AppState.swift|swift|swift|8|19|0|4|13|0|15
Thaw/Events/EventTap.swift|swift|swift|7|0|0|38|0|0|0
Thaw/Events/EventMonitor.swift|swift|swift|21|0|0|27|0|0|0
Thaw/Events/HIDEventManager.swift|swift|swift|19|52|5|77|2|0|8
Thaw/Events/RunLoopLocalEventMonitor.swift|swift|swift|8|0|0|5|0|0|0
Thaw/Utilities/SystemAppearance.swift|swift|swift|1|0|0|0|0|0|0
Thaw/Utilities/Migration.swift|swift|swift|14|53|0|0|0|0|0
Thaw/Utilities/Defaults.swift|swift|swift|3|17|3|0|0|0|0
Thaw/Utilities/Predicates.swift|swift|swift|2|0|0|0|0|0|1
Thaw/Utilities/ObjectStorage.swift|swift|swift|4|0|0|0|0|0|0
Thaw/Utilities/LocalizedErrorWrapper.swift|swift|swift|1|0|0|0|0|0|0
Thaw/Utilities/MouseHelpers.swift|swift|swift|1|0|0|13|0|0|3
Thaw/Utilities/ScreenCapture.swift|swift|swift|2|3|0|0|36|0|4
Thaw/Utilities/Extensions.swift|swift|swift|43|24|1|2|35|10|14
Thaw/Utilities/IconResource.swift|swift|swift|1|0|0|0|3|0|0
Thaw/Utilities/SpaceInfo.swift|swift|swift|1|0|0|0|0|0|16
Thaw/Utilities/Helpers.swift|swift|swift|1|0|0|0|0|0|0
Thaw/Utilities/IceSettingsImporter.swift|swift|swift|3|5|2|0|0|0|0
Thaw/Utilities/Swizzling.swift|swift|swift|1|0|0|0|0|0|0
Thaw/Utilities/ConcurrencyHelpers.swift|swift|swift|3|0|0|0|0|0|0
Thaw/Utilities/Constants.swift|swift|swift|1|0|0|0|0|0|0
Thaw/Permissions/PermissionsView.swift|swift|swift|1|2|0|0|0|0|0
Thaw/Permissions/AppPermissions.swift|swift|swift|3|0|0|0|0|2|0
Thaw/Permissions/PermissionsWindow.swift|swift|swift|1|0|0|0|0|0|0
Thaw/Permissions/Permission.swift|swift|swift|4|4|0|0|4|5|1
Thaw/Hotkeys/Hotkey.swift|swift|swift|8|0|0|0|0|0|0
Thaw/Hotkeys/HotkeyRegistry.swift|swift|swift|4|0|0|0|0|0|0
Thaw/Hotkeys/KeyCombination.swift|swift|swift|3|0|0|0|0|0|0
Thaw/Hotkeys/KeyCode.swift|swift|swift|3|0|0|1|0|0|2
Thaw/Hotkeys/HotkeyAction.swift|swift|swift|2|6|3|2|0|0|0
Thaw/Hotkeys/Modifiers.swift|swift|swift|2|0|0|0|0|0|0
Thaw/Resources/Info.plist|resource|plist|||||||
Thaw/Resources/Assets.xcassets/Contents.json|resource|json|||||||
Thaw/Resources/Assets.xcassets/ControlItemImages/Ellipsis/Contents.json|resource|json|||||||
